Type,From,To,Exists,Field/LinkText,Details
"frontmatter","_posts/social/2025-06-30-sincerity-curiosity-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-06-30-sincerity-curiosity-paper.md","../consciousness/2025-07-06-ai-bias-paper.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-06-30-sincerity-curiosity-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","cross_synthesis_with","Array[0]"
"markdown","_posts/social/2025-06-30-sincerity-curiosity-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence paper","Position: 17839"
"markdown","_posts/social/2025-06-30-sincerity-curiosity-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence paper","Position: 17681"
"markdown","_posts/social/2025-06-30-sincerity-curiosity-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence paper","Position: 17479"
"markdown","_posts/social/2025-06-30-sincerity-curiosity-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","Conversational Intelligence Calibration","Position: 11601"
"markdown","_posts/social/2025-06-30-sincerity-curiosity-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","Conversational Intelligence Calibration","Position: 11481"
"markdown","_posts/social/2025-06-30-sincerity-curiosity-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","Conversational Intelligence Calibration","Position: 11187"
"markdown","_posts/social/2025-06-30-sincerity-curiosity-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","Conversational Intelligence Calibration","Position: 11059"
"markdown","_posts/social/2025-06-30-sincerity-curiosity-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","Conversational Intelligence Calibration","Position: 10710"
"markdown","_posts/social/2025-06-30-sincerity-curiosity-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","Conversational Intelligence Calibration","Position: 8054"
"markdown","_posts/social/2025-06-30-sincerity-curiosity-paper.md","../consciousness/2025-07-06-ai-bias-paper.md","false","AI Bias Paper","Position: 7837"
"markdown","_posts/social/2025-06-30-sincerity-curiosity-paper.md","../consciousness/2025-07-06-ai-bias-paper.md","false","AI Bias Paper","Position: 7581"
"frontmatter","_posts/social/2025-06-30-managed-reality-paper.md","./2025-07-03-post-scarcity-proposal.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-06-30-managed-reality-paper.md","./2025-06-30-game-theory-ethics.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-06-30-managed-reality-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","related_documents","Array[2]"
"frontmatter","_posts/social/2025-06-30-managed-reality-paper.md","./2025-07-03-cognitive-effort-paper.md","false","related_documents","Array[3]"
"frontmatter","_posts/social/2025-06-30-managed-reality-paper.md","../scifi/2025-06-29-superfluid-fusion-proposal.md","false","related_documents","Array[4]"
"frontmatter","_posts/social/2025-06-30-managed-reality-paper.md","./2025-06-30-game-theory-ethics.md","false","cross_synthesis_with","Array[0]"
"frontmatter","_posts/social/2025-06-30-managed-reality-paper.md","./2025-07-03-post-scarcity-proposal.md","false","cross_synthesis_with","Array[1]"
"frontmatter","_posts/social/2025-06-30-managed-reality-paper.md","./2025-06-30-game-theory-ethics.md","false","cross_synthesis_with","Array[2]"
"frontmatter","_posts/social/2025-06-30-managed-reality-paper.md","./2025-07-03-post-scarcity-proposal.md","false","cross_synthesis_with","Array[3]"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","./2025-06-30-game-theory-ethics.md","false","game_theory_ethics.md","Position: 25604"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","./2025-06-30-game-theory-ethics.md","false","game_theory_ethics.md","Position: 25457"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","./2025-07-03-cognitive-effort-paper.md","false","cognitive effort framework","Position: 25363"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","./2025-07-03-cognitive-effort-paper.md","false","cognitive effort framework","Position: 25216"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence framework","Position: 24467"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence framework","Position: 24320"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","./2025-06-30-game-theory-ethics.md","false","game theory analysis","Position: 24179"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","./2025-06-30-game-theory-ethics.md","false","game theory analysis","Position: 24108"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","./2025-06-30-game-theory-ethics.md","false","game theory analysis","Position: 24019"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","../scifi/2025-06-29-superfluid-fusion-proposal.md","false","superfluid_fusion_proposal.md","Position: 23653"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","../scifi/2025-06-29-superfluid-fusion-proposal.md","false","superfluid_fusion_proposal.md","Position: 17261"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","./2025-07-03-post-scarcity-proposal.md","false","post_scarcity_proposal.md","Position: 13060"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","./2025-06-30-game-theory-ethics.md","false","game_theory_ethics.md","Position: 4988"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","./2025-07-03-post-scarcity-proposal.md","false","post_scarcity_proposal.md","Position: 4386"
"markdown","_posts/social/2025-06-30-managed-reality-paper.md","./2025-07-03-post-scarcity-proposal.md","false","post_scarcity_proposal.md","Position: 3123"
"frontmatter","_posts/social/2025-06-30-iterative-recognition-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","related_documents","Array[0]"
"markdown","_posts/social/2025-06-30-iterative-recognition-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence calibration","Position: 13504"
"frontmatter","_posts/social/2025-06-30-institutional-decay-analysis.md","./2025-06-30-game-theory-ethics.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-06-30-institutional-decay-analysis.md","./2025-07-03-cognitive-effort-paper.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-06-30-institutional-decay-analysis.md","./2025-07-03-cognitive-effort-paper.md","false","related_documents","Array[2]"
"frontmatter","_posts/social/2025-06-30-institutional-decay-analysis.md","./2025-06-30-institutional-decay-analysis.md","false","related_documents","Array[3]"
"markdown","_posts/social/2025-06-30-institutional-decay-analysis.md","./2025-07-03-cognitive-effort-paper.md","false","cognitive_effort_paper.md","Position: 4651"
"markdown","_posts/social/2025-06-30-institutional-decay-analysis.md","./2025-07-03-cognitive-effort-paper.md","false","cognitive_effort_paper.md","Position: 4548"
"markdown","_posts/social/2025-06-30-institutional-decay-analysis.md","./2025-06-30-game-theory-ethics.md","false","game_theory_ethics.md","Position: 4424"
"markdown","_posts/social/2025-06-30-institutional-decay-analysis.md","./2025-07-03-cognitive-effort-paper.md","false","cognitive_effort_paper.md","Position: 4168"
"markdown","_posts/social/2025-06-30-institutional-decay-analysis.md","./2025-06-30-game-theory-ethics.md","false","game_theory_ethics.md","Position: 3954"
"frontmatter","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../learning/2025-07-06-llm-feedback-dynamics.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../learning/2025-07-06-hypothesis-breeding-grounds.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../consciousness/2025-07-06-evolutionary-agents-proposal.md","false","related_documents","Array[2]"
"frontmatter","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../human/2025-07-01-prompt-optimization.md","false","related_documents","Array[3]"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../consciousness/2025-07-06-evolutionary-agents-proposal.md","false","evolutionary agents proposal","Position: 21338"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../consciousness/2025-07-06-evolutionary-agents-proposal.md","false","evolutionary agents proposal","Position: 21163"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../learning/2025-07-06-hypothesis-breeding-grounds.md","false","Hypothesis Breeding Grounds","Position: 20830"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../learning/2025-07-06-llm-feedback-dynamics.md","false","LLM feedback systems","Position: 20708"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../learning/2025-07-06-llm-feedback-dynamics.md","false","LLM feedback systems","Position: 20538"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../consciousness/2025-07-06-evolutionary-agents-proposal.md","false","evolutionary agents proposal","Position: 7620"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../learning/2025-07-06-hypothesis-breeding-grounds.md","false","Hypothesis Breeding Grounds","Position: 7475"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../learning/2025-07-06-hypothesis-breeding-grounds.md","false","Hypothesis Breeding Grounds","Position: 7390"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../learning/2025-07-06-hypothesis-breeding-grounds.md","false","Hypothesis Breeding Grounds","Position: 7262"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../learning/2025-07-06-llm-feedback-dynamics.md","false","chaotic dynamics in LLM systems","Position: 7054"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../learning/2025-07-06-llm-feedback-dynamics.md","false","chaotic dynamics in LLM systems","Position: 6926"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../human/2025-07-01-prompt-optimization.md","false","prompt optimization","Position: 5827"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../human/2025-07-01-prompt-optimization.md","false","prompt optimization","Position: 5742"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../human/2025-07-01-prompt-optimization.md","false","prompt optimization","Position: 5617"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../consciousness/2025-07-06-evolutionary-agents-proposal.md","false","evolutionary agents proposal","Position: 5513"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../learning/2025-07-06-hypothesis-breeding-grounds.md","false","Hypothesis Breeding Grounds","Position: 5365"
"markdown","_posts/social/2025-06-30-ideatic-dynamics-experiments.md","../learning/2025-07-06-llm-feedback-dynamics.md","false","LLM feedback dynamics","Position: 5078"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence framework","Position: 88288"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence framework","Position: 88147"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-06-30-cross-synthesis-justice-institutions.md","false","cross-synthesis of institutional transformation","Position: 24131"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-06-30-cross-synthesis-justice-institutions.md","false","cross-synthesis of institutional transformation","Position: 23938"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-06-30-managed-reality-paper.md","false","managed reality systems","Position: 23757"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-06-30-managed-reality-paper.md","false","managed reality systems","Position: 23690"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-06-30-ai-justice-paper.md","false","AI justice reform proposal","Position: 20868"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-06-30-ai-justice-paper.md","false","AI justice reform proposal","Position: 20765"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-06-30-ai-justice-paper.md","false","AI justice reform proposal","Position: 20680"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-07-03-cognitive-effort-paper.md","false","cognitive effort analysis","Position: 20511"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-07-03-cognitive-effort-paper.md","false","cognitive effort analysis","Position: 20426"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-07-03-cognitive-effort-paper.md","false","cognitive effort analysis","Position: 20323"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-06-30-cross-synthesis-justice-institutions.md","false","cross-synthesis of institutional transformation","Position: 8988"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence framework","Position: 8751"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-07-03-cognitive-effort-paper.md","false","cognitive effort analysis","Position: 8567"
"markdown","_posts/social/2025-06-30-game-theory-ethics.md","./2025-06-30-cross-synthesis-justice-institutions.md","false","institutional transformation synthesis","Position: 3862"
"frontmatter","_posts/social/2025-06-30-decision-volume-temporal-theory.md","./2025-07-03-cognitive-effort-paper.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-06-30-decision-volume-temporal-theory.md","./2025-07-03-conversation-intelligence-paper.md","false","related_documents","Array[1]"
"markdown","_posts/social/2025-06-30-decision-volume-temporal-theory.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence work","Position: 11721"
"markdown","_posts/social/2025-06-30-decision-volume-temporal-theory.md","./2025-07-03-cognitive-effort-paper.md","false","cognitive effort allocation","Position: 11488"
"frontmatter","_posts/social/2025-06-30-cross-synthesis-justice-institutions.md","./2025-06-30-game-theory-ethics.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-06-30-cross-synthesis-justice-institutions.md","./2025-06-30-ai-justice-paper.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-06-30-cross-synthesis-justice-institutions.md","./2025-07-03-social-truth-proposal.md","false","related_documents","Array[3]"
"frontmatter","_posts/social/2025-06-30-cross-synthesis-justice-institutions.md","./2025-07-03-cognitive-effort-paper.md","false","related_documents","Array[4]"
"frontmatter","_posts/social/2025-06-30-cross-synthesis-justice-institutions.md","./2025-07-03-conversation-intelligence-paper.md","false","related_documents","Array[5]"
"frontmatter","_posts/social/2025-06-30-cross-synthesis-justice-institutions.md","./2025-06-30-managed-reality-paper.md","false","related_documents","Array[6]"
"frontmatter","_posts/social/2025-06-30-cross-synthesis-justice-institutions.md","./2025-06-30-game-theory-ethics.md","false","cross_synthesis_with","Array[0]"
"frontmatter","_posts/social/2025-06-30-cross-synthesis-justice-institutions.md","./2025-06-30-ai-justice-paper.md","false","cross_synthesis_with","Array[1]"
"markdown","_posts/social/2025-06-30-cross-synthesis-justice-institutions.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence framework","Position: 13917"
"markdown","_posts/social/2025-06-30-cross-synthesis-justice-institutions.md","../projects/2025-06-30-ontological-compiler-proposal.md","false","Ontological Compiler Toolchain proposal","Position: 13785"
"markdown","_posts/social/2025-06-30-cross-synthesis-justice-institutions.md","./2025-06-30-ai-justice-paper.md","false","AI justice reform proposal","Position: 4175"
"markdown","_posts/social/2025-06-30-cross-synthesis-justice-institutions.md","./2025-06-30-game-theory-ethics.md","false","game-theoretic analysis of institutional capture","Position: 4064"
"frontmatter","_posts/social/2025-06-30-consciousness-optimization-theory.md","../consciousness/2025-07-06-ai-introspection-study.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-06-30-consciousness-optimization-theory.md","../projects/2025-06-30-parametric-ideation-paper.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-06-30-consciousness-optimization-theory.md","../phenomenology/2025-07-01-hall-of-mirrors-paper.md","false","related_documents","Array[2]"
"frontmatter","_posts/social/2025-06-30-consciousness-optimization-theory.md","./2025-07-03-hiring.md","false","related_documents","Array[3]"
"markdown","_posts/social/2025-06-30-consciousness-optimization-theory.md","./2025-07-03-hiring.md","false","The Accumulation of Consciousness","Position: 14750"
"markdown","_posts/social/2025-06-30-consciousness-optimization-theory.md","./2025-07-03-hiring.md","false","The Accumulation of Consciousness","Position: 14667"
"markdown","_posts/social/2025-06-30-consciousness-optimization-theory.md","../consciousness/2025-07-06-ai-introspection-study.md","false","Recursive Introspection in Large Language Models","Position: 14427"
"markdown","_posts/social/2025-06-30-consciousness-optimization-theory.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence calibration","Position: 12395"
"frontmatter","_posts/social/2025-06-30-ai-justice-paper.md","./2025-06-30-game-theory-ethics.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-06-30-ai-justice-paper.md","./2025-06-30-cross-synthesis-justice-institutions.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-06-30-ai-justice-paper.md","../projects/2025-06-30-ontological-compiler-proposal.md","false","related_documents","Array[2]"
"frontmatter","_posts/social/2025-06-30-ai-justice-paper.md","./2025-07-03-social-truth-proposal.md","false","related_documents","Array[3]"
"frontmatter","_posts/social/2025-06-30-ai-justice-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","related_documents","Array[4]"
"markdown","_posts/social/2025-06-30-ai-justice-paper.md","./2025-06-30-managed-reality-paper.md","false","managed reality framework","Position: 10425"
